"","ACACA","ACVRL1","AKT1","AKT1S1","ANXA1","AR","ARAF","ASNS","ATM","BAD","BAK1","BAP1","BAX","BCL2","BCL2L1","BCL2L11","BECN1","BID","BRAF","BRCA2","CASP7","CAV1","CCNB1","CCND1","CCNE1","CCNE2","CDH1","CDH2","CDH3","CDKN1A","CDKN1B","CHEK1","CHEK2","CLDN7","COL6A1","CTNNB1","DIRAS3","DVL3","EEF2","EEF2K","EGFR","EIF4E","EIF4EBP1","EIF4G1","ERBB2","ERBB3","ERRFI1","ESR1","ETS1","FASN","FN1","FOXM1","FOXO3","G6PD","GAB2","GAPDH","GATA3","GSK3A","HSPA1A","IGFBP2","IRS1","ITGA2","JUN","KDR","KIT","LCK","MAP2K1","MAPK1","MAPK14","MAPK9","MET","MRE11A","MYC","MYH11","NDRG1","NF2","NFKB1","NOTCH1","NRAS","NRG1","PARK7","PCNA","PDCD4","PDK1","PEA15","PGR","PIK3R1","PRDX1","PREX1","PRKAA1","PRKCD","PTEN","PXN","RAB25","RAD50","RAD51","RAF1","RB1","RBM15","RPS6","RPS6KA1","RPS6KB1","SERPINE1","SFRS1","SHC1","SMAD1","SMAD3","SMAD4","SQSTM1","SRC","STAT3","STAT5A","STK11","STMN1","SYK","TGM2","TP53","TP53BP1","TSC1","TSC2","TUBA1B","VHL","WWTR1","XBP1","XRCC1","XRCC5","YAP1","YBX1","YWHAB","YWHAE","YWHAZ"
"subject1",-0.778773392542298,6.66134970751074,0.601915199839199,-1.38107192142002,0.276366440530262,6.82619771885186,5.21778744650308,-0.531270280781085,-0.685574433143961,4.96597885834893,1.45968055031743,5.13451933404262,-0.505131872376663,0.496631086652923,0.969716334724477,0.21871567932444,0.296617763289831,0.0300390265220953,5.74450879054281,4.28013198155761,6.87830671948431,2.24520231044024,-1.80651136328296,2.79703121032363,-0.115064918440402,4.0395970063856,5.78802741528488,-1.88843223906903,5.29527323408818,4.58552003842142,-0.802899277988818,-2.14285631920344,4.34868359487913,9.25881425028467,-1.11994553138803,-0.813749404103594,4.79097769827948,6.54138044511962,5.4400471624707,0.638403861495702,4.05981322733758,-0.426254859024606,4.40571713457225,1.04640508997064,7.81303061419514,6.70054359854568,-1.44316743603397,8.59634840755099,-0.26794426643853,3.84473643000791,4.04520150238451,4.05100465185707,0.462701712112671,-1.03726453535633,2.53238973424744,0.440884059674322,-3.91420305869901,0.125828848232526,8.67794844985163,0.763740233625674,-2.05570663752487,-1.92508069030488,7.41856801391463,1.51192914692451,-2.2921621846903,-1.91366945275636,5.15219083849091,-0.891950229256869,-1.16237873654492,-0.555829180134885,2.88031702988033,0.143506345705641,-0.606728618334996,5.34011291158056,1.1663834612638,5.43159594841014,1.34519902202905,-1.1010728202782,3.80346996538333,-2.26231738074527,0.219205200813593,-1.65859862505431,5.64152210056386,2.7942874806754,2.90363184840025,-2.91793520731044,5.80549959040261,-0.376979853956505,4.94501844579909,3.52690138204156,7.45603400019285,5.88786478979017,0.628514131975719,2.83175343578917,5.30098762155741,3.44832339165991,5.1294457914069,-0.998713912560419,-0.639221497798264,5.91343539342546,6.50431307659871,4.08687555028398,-2.47946816214944,-0.160033432098801,4.63984096864287,7.73270300901121,-0.439961543229045,0.315330799363792,6.82542756670705,5.22637871351258,1.9590980269035,4.8937637245319,0.310633775965831,-0.513927503785364,3.41144976476549,0.381196539582379,5.37514080929407,0.822255687829935,-0.51874556641963,5.71742859600852,0.117863432495227,4.99738892993681,5.22747108923147,-1.17394214961844,4.99018497386255,4.739730268687,0.75240447238428,4.92520405268102,-0.332288663159558,4.74038509297628,1.58852706393737
"subject2",-1.20223734194386,6.5999349491891,-1.05947272150652,-1.3430909309221,0.567053052937613,2.98029750131832,-1.06005807708479,-0.543807375781473,4.11240812238598,-0.377626580613664,6.98461398327212,3.8203247860281,4.62236394281181,5.33716436252685,5.91282363160545,-0.352492765114285,0.307951896350956,-1.16339329123211,5.21855654333211,0.0509330675191015,1.2077020363503,2.67149205123134,-1.19480083709792,3.4490804127207,0.570217055665741,-0.367475745494908,6.77172351697371,0.333868370073125,-0.0882146857521804,4.99049425042074,0.997501814098272,3.9428153376869,-0.902151958951095,2.73553903780733,0.211567257015703,-0.648564914419799,8.43212268037091,0.274389055810572,-0.266489131832387,-0.096051109944578,5.3742762386166,-0.0422769494011632,5.84130321056648,-0.664842080518422,6.48092669940605,5.70257771671005,3.90331193354376,8.32812211900309,-0.64177427869815,2.84312825743645,-1.22545763377662,-2.01605520397843,-0.0290362230639519,-1.99814854862389,6.83443435038942,4.9196102568386,-4.4275093801719,0.760598936182989,5.87111263774311,1.74311675154936,-1.33722477795422,-1.25150437362652,7.37138699898993,7.33182947615577,-1.01859154725899,-3.19262669715483,-0.108017805048308,-0.60760830881157,-0.0263736143882614,0.591924154917683,-1.78628412858454,0.422801287525571,4.53059914063691,4.75929336614884,-0.00891752985210281,-0.209710553776326,1.94158605653346,-2.74129583049376,-1.36428898770928,4.15410033943507,-0.343498455777803,4.01738993922917,0.865930110932299,-1.43112386224199,5.8118898566572,-2.17078788398645,5.91596061283508,-0.159578289196251,4.85214291680265,-1.53134483368585,4.71618911265214,6.94123697771197,0.516320342370373,3.3433856036685,6.17076891116948,-1.8055927611596,-0.0183256538873997,3.95923002601601,4.51754493277786,4.81340810630878,0.269969591086337,-0.994852013883776,-2.75999959979904,0.0824083419548924,3.81504944174224,2.71481567134993,-0.286728758545247,0.789809361259361,5.66586456784761,-0.683476490507183,0.905760747315192,5.03339949062545,4.42966944928605,4.55077463201129,7.46294770929187,-0.661469392661081,5.04085852419225,5.19583438937105,4.40504689856256,4.85109679458077,-0.0295058043686859,5.32462241399913,-0.575674830479692,-0.521891128911025,1.27001854340625,5.3962988570165,1.92608995951996,0.432327584396102,0.45374099526736,0.12443113383741,1.51604372178627
"subject3",-0.351933295362944,7.03710576449803,-0.169862327845209,-0.600337555283999,0.467503778365655,4.40914916297237,5.52339559255211,-0.820250567084946,-0.896701553376481,6.27309064571301,2.31786634424163,4.40126819936198,0.69071780711497,-4.10264455472549,1.22038565228203,0.207965615936421,-0.0111337547662046,1.26173903650522,6.00930176642055,2.8712014720749,6.44553446088992,3.2701231812434,-0.698002858050285,2.87439163892867,-0.610868012185475,4.44138525438554,5.90924695615075,1.44028241659282,7.25038974967632,3.8954369780645,-0.995274465404447,-0.347048458296928,5.32111994438528,9.19307059018472,1.19907079019428,1.85196501943103,9.67790163663547,5.30989549420322,4.36635500375182,0.460283315425823,3.36330805517459,0.854962542202393,4.68280861603605,-0.369798110102008,6.76501418173613,5.19225962309509,0.094899901701528,7.33414020003787,0.18070271002619,2.8050618620504,4.13121097139102,2.72444209900795,-0.503732136446641,-0.776906258997584,0.510954434105323,-1.22178856041954,-4.73022507614535,0.948439760539531,9.38963151968201,1.91588374969371,-1.44901758570985,-2.7162279162249,5.07929118791802,1.70056994069219,-1.03177544390778,-2.44588964001264,5.0340403338537,0.348777967334714,1.14524188621113,0.94427556498795,2.87261572889564,0.0865769329613801,-2.16942547179941,2.03399183874566,0.734410375505702,4.52652252859618,0.602161864239317,-2.89709611130583,5.81153889267076,-2.10081800780099,0.876235852666189,-1.69177619780711,5.74634649479679,4.6846217086517,1.95072920494267,0.00445347017412201,6.1225316676718,0.0592116603755014,3.87855502924385,5.68190390093393,5.04165392304835,7.27343445709219,-1.00814474443655,2.31100206374651,4.91066262186795,4.26372804003113,4.9863766003921,-0.851617338035894,-1.17344741845746,5.831179567644,5.40658685197689,2.87891886329581,-2.16012612631178,-1.31261349833859,4.29835677538107,7.14785207461413,-1.20576616798236,1.27184169131098,6.32939020338235,5.49989934642883,0.659326312523973,4.94835038856008,0.430643548052134,-0.00713398505853696,0.664830059309261,0.881414527739973,5.49010371362213,0.458818765171641,-1.93357738708719,4.72119380806033,-0.751150523389113,6.54801578753244,6.9838613616212,1.17444674808901,5.29283388745273,5.40519003223568,1.72066795294202,5.24329020340507,0.383032920925453,7.38773942143527,1.11490783913413
"subject4",-0.560751933871702,6.30292173951447,-1.0956743200456,-0.33557049955228,-1.79930170491864,4.85863522301984,4.78949051406588,-0.335323405402484,-1.50998235024765,5.80087845289687,0.748227986534728,4.3761925386133,0.35389691988063,-1.33134372442771,0.644139557150269,-0.0981321410440675,-0.972869161418537,-0.826677947040392,4.80649233525007,4.38228753248006,4.61002942454055,3.98198097888762,0.706849199820551,2.99306892793857,0.557161112979954,3.41628786858853,3.54871844303537,-1.51383309993617,5.96909635004685,3.77848741835001,1.57700723811205,-0.74041463001827,6.02820781987029,7.65980485520113,-1.31896949779515,0.532125456808211,5.8012579845258,6.00919240210026,4.71252597230223,0.00260112132536344,2.58800142124601,-0.583392105006456,4.86510534682533,-0.309137602890481,6.73635883325569,3.84588911646954,-0.858081090353406,5.85660465918033,-0.0466298470596605,1.96115231485602,2.17734921449359,3.77317288254234,-0.28676569625657,-0.934624680145791,1.04826595559205,-0.81137773657553,-4.03298479297698,-0.241985109992072,2.87079347503311,0.842812461608811,-1.34680020332748,-1.73742856406843,6.45598705182506,1.55009822883473,-2.63847033724441,-2.0249458244702,4.42997128502755,-1.2276424290178,-0.658525714079138,-1.90107414265856,2.04124471182087,0.071090418732435,-0.913276398773107,1.57313274406371,-0.45095580466702,4.31077761414115,0.799999777761005,-2.10063809855533,6.65831979234384,-1.29165222701502,0.457676106230414,-0.833417844495501,6.04908406330501,5.38021566786086,1.46540866146352,-0.675087037818223,4.98508410953864,-1.21145306328709,2.8348284078631,3.82602186439182,5.30475838084136,6.99740939773701,-0.212363824825648,-4.06059333782746,5.7922091761802,4.00924419328104,5.06219151129061,-0.495970720869362,-0.514252646267419,7.88777291832113,4.32167318969154,2.87069149558502,-2.77418244330207,-0.763146459707739,4.41248586098752,7.32857376309047,-0.840694954737509,1.19615881431593,5.51180844590604,4.58879970940942,0.34804538570825,4.7932847653995,-0.397344959415896,1.77745691156215,2.81578815819553,-0.774176754660544,4.18855193100654,-0.160999953027277,-1.30717204617204,5.10906429644801,0.502509782387893,4.78079370774688,6.12461804537738,-1.63114656310413,5.21347007558219,5.81381892196999,0.552651415549212,4.45755092098291,-0.836184091449913,5.89099635733799,-0.108535006131217
"subject5",-0.260575528763566,5.97499512891466,-1.59770373492338,-1.23998900470848,-0.848311902255102,6.20219381662483,3.62555004231691,-0.89665877679475,-0.772298579586268,5.42788685071544,0.186618940625095,3.90478806832436,0.368065533827415,1.82990165431952,-0.10117977305474,-0.525175458963443,-0.407704615080951,0.0613598524336433,6.11724061187359,5.6682437615245,5.62173799205641,2.88180539953444,-1.85667714720096,2.62995073884044,-0.252796554279541,3.57518995912024,6.29001774219669,-1.4671396515994,9.34975640885963,4.65812872899845,0.0366172842971518,-1.69377667063429,5.34421817284241,7.75381000170612,-0.654077695636515,-0.0776657356239379,6.89222773542979,4.22061451474106,4.20461040419823,-0.502091169694404,4.83490778249076,0.271277395961452,4.16947411866306,-1.25437318716746,5.631548332487,5.16815925114672,-0.931342285327818,5.23022866041415,-0.168835856573284,3.21330130181539,2.20689182389879,3.27992045307275,-1.34850410588081,-2.71553730732084,0.660671395308524,-0.968801650251872,-3.51091989551335,0.00956198604745423,7.63411349240196,-1.09396769629911,-0.297644665860624,-1.68437808470507,6.24306645635788,1.12835643166576,-2.45041974596195,-2.13626930880318,5.64767261721852,-0.996197216132572,-0.534334777609744,-0.809263492088269,3.84838211345448,0.303923207421581,-0.87410368132382,2.08670227124956,-1.03603676708109,5.03474902564266,1.38008703051735,-0.745741185639003,5.60585431685876,-2.80963075869698,1.06905611110944,-1.90031897098218,6.59738768574165,4.79709616517575,1.561398604034,1.67483552869685,5.61859088782564,-1.18194739938306,5.05514199851551,4.27935133926178,5.64910145956967,5.81451249066112,-0.564033946807006,-0.0582971491291695,5.56440826426331,4.65764758736347,5.66091303574783,-0.658298658198332,-0.261276149069468,6.36338704267224,4.98705500703075,3.51381073256912,-3.030436130227,-0.0686757651330682,4.1998834908517,7.39311267526655,-0.0867022371068169,0.289130316827135,4.17804777603259,5.5709108646023,0.290506128917897,5.0138575771793,0.124946950401689,-1.20521304475605,2.90501011670412,-1.12747938720003,2.96152515156873,0.727093063718857,-0.725245078957096,3.95374005362523,-0.791180011496164,5.50994004231233,5.23577780192847,-1.46672003081681,5.39163490767381,5.30946518712849,1.11345735501267,5.06224386483108,-1.15148136752895,5.11814826971976,-0.504209217598492
"subject6",-0.9883371749394,6.45702972127094,-1.08735098695873,-1.17393845906593,-0.843989762724562,5.70115598442062,4.55820586126951,-1.20215754594678,-0.295199360034704,5.21466041849286,1.04787514708642,3.40135723210475,-0.0233937127631555,1.05523270990791,1.52859239574411,0.0506657060816802,0.0653932752365702,0.150371896685813,4.88843861115641,4.88854231244746,5.77464940862817,3.20223097964927,-1.10225284111006,2.63825272521809,3.28724092489121,2.45271687909788,6.7482453083332,-3.41505810120421,5.86484151319909,3.29579289870138,0.760283654755873,-0.83212864944955,5.57807217691692,7.69577920594024,-0.830351199083579,0.485888427289639,9.67773935961826,6.08829446095684,3.81628765715946,-0.87224729909882,2.94130140651118,-0.110355866105955,5.70874638708623,-0.068338665544667,7.51298020591015,5.33892564866608,-1.28721130113346,7.85591179029015,-1.09386177981453,2.49617572045546,1.74598160135828,3.71579251125237,0.288038794548659,-1.75556639630778,1.10261307866595,-1.33842722283147,-5.32617290237424,1.11640456917137,8.95993788442361,2.73727652799761,-0.869248333352716,-2.90354338358409,6.86926059452805,1.98126442473272,0.158485274288386,-3.22557764555922,5.78149731366638,-1.0976739731141,-0.0417558302182883,-0.769739272879568,3.21643272710214,0.865318906745565,-1.0804976894812,5.12726212622927,-0.825836750166592,4.19981106968326,0.734307914630499,-1.08511260091392,4.93391636543608,-2.38765156315629,0.945008611762343,0.0990833669750577,6.44116295369827,3.64562255195498,0.662907219626413,-0.477489678453322,6.42877611057437,-0.304065532643938,5.25787852996556,3.67369300090885,5.19243581845875,6.0113058876785,-0.18793516104981,1.8230110557382,5.70620109469172,4.72564895040128,5.18343519046825,-0.0307340653202676,-1.42155380138392,6.98471062832998,4.93242531510877,3.45808032573494,-4.14586080534466,-0.395093440596675,3.53120190900077,5.44717947282632,-0.981417669832683,1.09487194212656,4.42755484227277,6.03264512932794,0.345348526699466,4.60958055375665,-0.914510018923417,0.306642479323215,3.12741134346232,-1.68953546584519,4.64174028008491,0.132134237184742,-0.0421259688102238,4.28525064983889,-0.484476341670826,5.14565425178122,4.16375568930585,-0.020388411795108,5.07500715406098,5.16778026116841,2.17080262747372,4.97265183235002,0.625558357045869,6.68496465451749,0.334538830513902
"subject7",-0.696995125717503,6.14976265728614,0.214925629608452,-0.487513400722233,0.979698328899459,4.45938109078394,4.57710369345887,-1.18645238202235,-0.655864971634991,6.19642411048076,0.542049617871701,4.13390022252841,-0.315568372385851,-2.59703043458358,1.02931884450195,-0.122168366167604,-0.217063002085352,0.492993372355808,7.75665512852656,5.63515423423699,5.31141035658989,2.59608022026363,0.130813575336133,2.11830868979717,2.92751009263423,4.09739051176232,8.3425191009382,0.40345857437396,8.09692517103231,3.53953440130755,-0.0624379146264375,0.0628033279336306,5.63801043547376,8.63495116938719,-0.28370981509085,1.68220109401436,7.78566488495083,5.93094151208776,3.67787076799347,0.664534507639849,5.74188688891783,0.712942184472537,5.63902848375779,-0.0209349158340167,8.10851526636283,6.31714177777333,-0.647461098004009,7.83486443455088,0.188782455102906,2.93009155559413,3.72192271787468,4.78791876541382,-0.480391012715136,-1.6674265110519,1.67426244667813,0.18012111171816,-4.70688080516424,0.678082379243129,3.39105033598638,2.06363147195389,-1.24394644170021,-2.53325696374493,6.18666857035324,2.44062518468649,-0.881496535203951,-2.51241815607876,5.03605646170453,-0.998292939093743,-0.70275177900509,-1.02340056138846,3.98728137876099,0.123176319141168,-0.985849740927339,1.36709037670873,0.528555657188467,5.38093924733066,1.65064958977976,-2.06487407256886,4.95600938962467,-0.4370628279005,0.668752163994356,-0.585242000943191,6.22550096974005,3.98788621074302,2.81049494066339,0.628453121626257,5.44461685500092,0.18188142895628,3.79192773301051,5.06443306680842,6.87882431895074,6.1122182506565,-0.099946541206706,0.800716015605539,4.91742570236037,5.13474004047263,4.94602721696768,-0.46732243917659,-1.06852736586236,5.47780300569999,5.29665444095631,3.63888615840784,-1.29137444185975,-0.517992370282003,3.9769733316142,7.27329209616053,0.148642918910852,0.946096211189918,5.26503417193685,5.0026036758691,1.82792359080967,4.65259408334597,0.229241340339541,0.0207985687399946,3.05875254842226,0.382498937460591,3.9565508078484,0.0983296131941279,-0.289901250790851,5.46541190745902,0.278522803368488,6.30373971979307,6.49379353729942,0.0126430808058133,5.28987310020256,5.79718390273386,1.15747673911739,5.79023737483416,-0.0585715920497326,5.7990427546934,1.28367208442955
"subject8",-1.81369514386456,5.86212649378949,-0.898746643589077,0.241115229762033,-1.42610523365066,6.87263043530485,5.35015122252392,0.308305182227725,-0.401912478086768,5.72173417496135,0.163705843916272,4.62309396529645,0.870548550184316,0.479540692308125,0.513432258651396,-0.5121802906871,-0.311154747783229,0.607076206489699,5.73072069847676,4.51784980881078,5.75372107875368,3.60686812933042,-0.162022370990541,4.23975793059468,0.817858530400382,3.72235365864987,5.69901661064577,3.50699445963089,7.05908780428184,2.24790325377108,0.847153058394674,-0.560879926129589,6.83673706575588,8.83861208113917,-0.0165549672676937,2.57364750230809,7.18150533265497,4.80571943694566,3.05297522531249,0.0761758851103256,3.20366270592713,1.32560165970124,4.12477343079839,-1.20549702022593,6.25019067638921,5.71127451896765,-1.13520584958093,5.77554429050714,0.280262088676931,2.20324487926967,4.24282163955049,3.20146354598868,-0.946194214197763,-1.32250358357665,0.597357101653277,-0.820838349573638,-4.39686960870749,-0.00832652867547884,7.87123861732656,0.772150876732048,0.261703590518298,-1.47579871531985,4.49536226486799,1.40097896327142,-2.03175833480331,-2.681481490049,4.22942084210565,-0.625376213362985,-0.0420866968961021,0.230994963101624,4.39134091300651,0.582483444003236,0.559962514158218,1.08766341647542,-0.58005923751273,5.10890228057007,0.636050911526093,-1.58623640047138,7.26983932743928,-1.1401031740396,-0.0800336701924073,-1.01452685488997,6.6575051512599,5.74658980671554,2.49190157118518,0.746225345493612,6.67686597950219,0.308546786934871,4.18603572645059,4.40128522099106,6.2306022294665,6.43110988484593,-1.15492343430775,-0.775339392922759,4.97390010389985,4.87564813270963,4.9838203302759,0.320664932590921,-0.213618539535282,6.4530705153903,4.55539093947591,2.65612391940896,-1.68080071820893,-0.927480311276043,4.43124896432969,6.96732638029201,-1.18856995297919,1.38424268729524,5.13723505416838,5.35305938832738,0.48033788159138,4.7325131254394,-0.598429580811592,0.0773110428782718,2.5026151955994,1.65335090477839,6.62877677996982,0.656028373538551,-0.886956607811435,4.67389680480092,-0.596783759167242,5.24980734847329,4.9233595469658,0.39270336821181,5.31604337191726,5.95581809847656,1.52959726550431,4.57040998590645,0.0632531392244179,6.99936220940562,1.38141187752974
"subject9",-0.60385330169144,6.83495832527984,-0.61088644298829,-0.576542459629532,-0.468072355137943,2.83567402675082,4.20007895716013,-1.69940139599763,1.10560040474798,5.41945818066798,2.30646042275987,3.69364263153774,-0.3845285761754,-1.98079876663336,0.893608498883565,0.246370850731285,-0.0647536422286724,0.135899113482907,5.0856018958258,4.86256143797534,5.07996150037056,2.95198942598994,-0.962221229492343,1.46853922889185,2.96016226041653,3.90651315416193,5.37859364810051,-0.791154080233389,6.01326596222804,4.10167092947838,-0.838330485143385,-0.83773751906793,5.89919867330433,8.72035642170508,0.176162764852978,-0.298161911948805,3.17445372113381,6.22021315153236,3.81907002871383,0.42762905963125,4.33685274705113,-0.5812274809978,5.3253440523325,-0.203847952965697,7.03479460635693,5.2297985885059,-1.79959092092542,6.48374281406318,0.346292844781191,2.78110792455654,4.26990733945582,4.20888786947151,0.0129404370315579,-1.33012725955744,1.48812162757352,-1.05682470678288,-4.70598417118927,0.831757557711144,6.14370262447962,-0.302812526060133,-1.44360406460082,-1.88431099100196,5.48876023651964,1.69910566762064,-2.99533945638259,-0.818949531527231,5.14261387937309,-1.3098071196701,-0.12093987552621,-0.925712510146918,3.47453577430199,0.637847201157679,-1.24545431480492,2.71901347355765,-0.0802476094905794,5.57952342454388,0.630746766035193,-1.15785359270989,4.19823824745449,-2.15071311199425,0.309584968382096,-0.994378772370744,5.07257297956463,2.76609572211887,1.38922676006349,-2.88999010668241,4.42796561864149,-0.380081311791235,5.05364811669394,5.35143116600313,5.40161822381001,6.38638709401932,-0.199123456577511,1.25355574375134,4.90647127756564,4.92851310436982,5.00558166126414,-0.198537395548193,-0.401136636233892,5.35339419321963,5.58923095536934,3.6923987222981,-0.887675246485878,-0.653865486606338,5.16961013183511,6.51485517719872,0.0410932586751888,0.576790991567571,5.58765624627311,5.13124950330678,1.32091626204642,5.63810782842646,0.21987789276302,-0.496469119338894,2.12743502598604,0.663267068913302,5.35089252295033,0.277719405321624,-0.42084863679135,4.75493870039313,-0.372959392738362,5.49130319734582,4.86832696579238,0.645992487941754,5.39172041390017,5.03324479114494,1.35989888225071,5.10952407774571,0.18969710417167,5.87915063882853,0.275690123532348
"subject10",-0.599577788328231,6.9763352023295,-1.20399439699909,-0.827920209945539,0.328692819593166,8.34159603399511,3.82537869878529,-1.10652986551095,-0.554280035886909,5.81703732375724,1.88410620913133,3.55099397147475,0.17035977056087,0.808636677313379,0.652199818285572,0.155850208470255,-0.194621827848333,0.732102619896086,6.58873785999296,3.60216168419579,5.98900776045459,2.55505323451562,-1.55901870786584,2.91668816419796,-0.134215596487673,2.27430378724934,6.58282537655073,-2.58002370374274,5.6255271196558,3.29575381333144,-0.372799582639006,-3.46409442441233,5.38106372094985,8.24321310857994,-0.346982384245911,0.416713394070245,7.1402453495977,4.82512806454619,4.53630089862542,0.120323006593479,4.68245588389742,0.416973198642496,4.22731254507961,-1.01978460182587,7.65362213687665,5.67594819063491,-1.73773013413321,8.97612183990874,-0.653660697642562,1.95154573123975,2.6443658928791,1.82241477973517,-1.41419593665445,-2.25239863298326,0.65023414143388,-1.38492145520494,-3.39733447269684,0.022389611751485,9.65414724809808,-0.318129872418361,-0.936915098027293,-2.02228770006716,5.69778129054168,1.62048492315586,-2.71881124584906,-2.6877355229697,4.84004947941209,-1.22992051712775,-0.776870479328497,-1.32236136572941,3.6461412974536,-0.344987593728315,-0.437485978717802,3.11237482609001,1.39316428766954,5.03958524998708,1.66416423220129,-2.71518399496399,4.82570601059961,-1.73582376341127,0.42889835224372,-1.7936275748905,6.18535845242663,3.35439116587754,1.52207394589313,-0.72267827041766,5.6055029396145,-0.194594677118872,3.25793814949757,4.29514783731247,6.14064419479515,6.50333837421413,-0.380353451133596,1.76384367517684,5.53293448282242,2.43043715825514,5.26372730972429,0.0106234181507162,-1.16266627685283,6.86084721781209,5.77689954987876,3.51173548326299,-3.51257476035269,-0.718170209931355,4.02504060889327,6.573196577291,-0.918281059641394,0.16506682293003,5.88037282377345,4.58843313216226,0.685130872269216,4.98934615844905,-0.124119397629317,-1.3432320182154,3.12501783563337,-0.950658757468368,3.46502359382194,-0.0878628033241552,-1.63683603155797,5.25635897731173,-1.81979534076453,5.29829645956583,4.59226401396072,-0.840026804009018,4.65847598973313,5.34609012116164,0.383382707924109,4.62381337926726,-0.165460564438709,4.74048906928245,0.971506050214428
